name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours
The Kendall,1.286405157,103.7836166,"50 Science Park Rd, Singapore 117406",SPMobility,4,TRUE,11,TRUE
ALICE@MEDIAPOLIS,1.294135304,103.7934574,"29 Media Cir., Singapore 138565",SPMobility,4,TRUE,16,FALSE
ICON@IBP,1.327569774,103.7489982,"3A International Business Park Rd, Singapore 609935",SPMobility,4,TRUE,8,TRUE
The Capricorn,1.290113761,103.778846,"1 Science Park Road Singapore Science Park 2, 117528",SPMobility,4,TRUE,13,TRUE
Solaris@One-North,1.298431564,103.7898664,"1 Fusionopolis Walk, Singapore 138628",SPMobility,2,TRUE,17,FALSE
Galaxis,1.300124494,103.7883317,"1 Fusionopolis Pl, Singapore 138522",SPMobility,4,TRUE,7,FALSE
Goldbell Tuas,1.320775055,103.6391838,"8 Tuas Ave 18, level 3, Singapore 638892",SPMobility,4,TRUE,13,TRUE
Singapore Polytechnic,1.310054576,103.7775388,"500 Dover Rd, Singapore 139651",SPMobility,0,TRUE,21,FALSE
Infinite Studios,1.292845268,103.7948477,"23 Media Cir., #02-15, Singapore 138563",SPMobility,4,TRUE,16,TRUE
Corporation Place,1.325652552,103.7199527,"2 Corporation Rd, Singapore 618494",SPMobility,4,TRUE,17,FALSE
Nordic European Centre,1.327590092,103.7484019,"3 International Business Park Rd, Singapore 609927",SPMobility,6,TRUE,22,TRUE
31 International Business Park,1.328913992,103.7461027,"31 International Business Park Rd, Singapore 609921",SPMobility,8,TRUE,30,TRUE
